experiment_id,timestamp,model_architecture,n_train_s1,n_folds,n_features,cv_mean_macro_f05,cv_std_macro_f05,optimal_threshold,singleton_f05,non_singleton_f05,fold_scores,imbalance_strategy,scale_pos_weight,ensemble_weights,duration_seconds,notes
EXP-001,2026-09-25 13:06:58,ensemble,3000,3,55,0.57806,0.00101,0.810,0.98182,0.52689,"0.57947,0.57755,0.57716",sqrt_ratio,4.89,"{""xgboost"": 0.4, ""lightgbm"": 0.35, ""catboost"": 0.25}",32.9,"Held-out Val F0.5: 0.55196 (Val S1=998, Recall=42.2%)"
EXP-002,2026-09-25 13:33:40,ensemble,4999,5,55,0.97342,0.00409,0.830,0.97590,0.98030,"0.97626,0.96968,0.97877,0.97454,0.96782",sqrt_ratio,3.13,"{""xgboost"": 0.4, ""lightgbm"": 0.35, ""catboost"": 0.25}",38.5,"Held-out Val F0.5: 0.98006 (Val S1=1,498, Recall=96.0%)"
